,date,open,close,high,low,volume,code
0,2001-08-31,5.392,5.782,5.902,5.132,660463.08,600519
1,2001-09-28,5.812,5.795,5.949,5.47,305550.14,600519
2,2001-10-31,5.781,5.476,5.859,5.109,246145.66,600519
3,2001-11-30,5.476,5.521,5.656,5.153,96779.93,600519
4,2001-12-31,5.523,6.023,6.14,5.413,249351.55,600519
5,2002-01-31,6.049,5.874,6.062,5.421,385901.31,600519
6,2002-02-28,5.859,5.937,6.043,5.765,109590.75,600519
7,2002-03-29,5.929,5.821,6.215,5.796,245678.42,600519
8,2002-04-30,5.806,5.656,6.015,5.484,113104.5,600519
9,2002-05-31,5.673,5.46,5.702,5.39,52439.03,600519
10,2002-06-28,5.452,5.785,6.099,5.312,126331.79,600519
11,2002-07-31,5.793,5.472,5.857,5.46,81247.58,600519
12,2002-08-30,5.465,5.324,5.552,5.294,47058.57,600519
13,2002-09-27,5.32,4.924,5.395,4.875,64141.38,600519
14,2002-10-31,4.918,4.558,4.925,4.474,40670.24,600519
15,2002-11-28,4.557,4.592,4.752,4.441,57027.03,600519
16,2002-12-31,4.63,4.448,4.784,4.447,78504.52,600519
17,2003-01-29,4.455,4.696,4.749,4.281,71913.75,600519
18,2003-02-28,4.693,4.682,4.726,4.578,22015.89,600519
19,2003-03-31,4.696,4.551,4.889,4.44,66860.09,600519
20,2003-04-30,4.553,4.401,4.787,4.281,199634.39,600519
21,2003-05-30,4.403,4.567,4.59,4.123,129766.79,600519
22,2003-06-30,4.581,4.361,4.586,4.324,74019.41,600519
23,2003-07-31,4.35,4.485,4.746,4.333,99825.97,600519
24,2003-08-29,4.456,4.167,4.498,4.068,42289.25,600519
25,2003-09-30,4.202,4.115,4.359,4.012,60433.67,600519
26,2003-10-31,4.091,4.337,4.359,4.068,46007.34,600519
27,2003-11-28,4.394,4.452,4.62,4.326,96371.96,600519
28,2003-12-31,4.514,4.921,4.975,4.427,147915.39,600519
29,2004-01-30,4.845,5.447,5.647,4.843,129011.17,600519
30,2004-02-27,5.521,5.502,5.705,5.269,151434.94,600519
31,2004-03-31,5.492,6.788,6.887,5.426,309407.55,600519
32,2004-04-30,6.74,7.251,7.85,6.74,270871.76,600519
33,2004-05-28,7.226,7.144,7.359,6.78,90726.51,600519
34,2004-06-30,7.144,6.557,7.255,6.238,141482.04,600519
35,2004-07-30,6.357,7.641,8.095,6.355,188623.31,600519
36,2004-08-31,7.635,7.412,7.702,7.318,77703.83,600519
37,2004-09-30,7.381,9.14,9.193,7.092,185643.26,600519
38,2004-10-29,9.018,9.899,10.316,8.804,154730.13,600519
39,2004-11-30,9.803,9.414,10.12,9.145,141547.3,600519
40,2004-12-31,9.531,9.31,9.579,8.685,96460.35,600519
41,2005-01-31,9.249,10.001,10.113,9.147,70854.55,600519
42,2005-02-28,9.91,11.053,11.246,9.826,85286.88,600519
43,2005-03-31,11.155,12.224,12.755,10.723,138588.86,600519
44,2005-04-29,12.217,13.467,13.602,11.77,131303.58,600519
45,2005-05-31,13.34,11.325,13.454,11.005,135882.78,600519
46,2005-06-30,11.332,13.632,13.96,10.067,159296.83,600519
