,date,open,close,high,low,volume,code
0,2004-08-13,7.51,7.02,8.05,6.92,698829.46,600987
1,2004-08-20,6.97,6.32,7.02,6.11,153582.82,600987
2,2004-08-27,6.2,6.44,6.88,6.14,221309.05,600987
3,2004-09-03,6.4,6.27,6.66,6.21,108230.81,600987
4,2004-09-10,6.25,6.07,6.35,5.95,50382.81,600987
5,2004-09-17,6.05,6.79,6.8,5.85,215943.03,600987
6,2004-09-24,6.84,6.67,7.12,6.62,255994.83,600987
7,2004-09-30,6.72,6.5,6.83,6.48,51855.2,600987
8,2004-10-08,6.46,6.7,6.71,6.37,10780.24,600987
9,2004-10-15,6.66,5.99,6.84,5.91,70226.97,600987
10,2004-10-22,6.17,5.7,6.34,5.5,79203.56,600987
11,2004-10-29,5.81,5.67,5.92,5.53,65904.35,600987
12,2004-11-05,5.61,5.74,5.85,5.56,52737.61,600987
13,2004-11-12,5.74,5.88,6.08,5.7,82059.01,600987
14,2004-11-19,5.88,5.99,6.05,5.81,43646.26,600987
15,2004-11-26,6.03,5.95,6.12,5.92,52697.4,600987
16,2004-12-03,5.92,6.07,6.1,5.88,38082.06,600987
17,2004-12-10,6.07,5.78,6.07,5.78,28615.87,600987
18,2004-12-17,5.75,5.63,5.84,5.55,24816.53,600987
19,2004-12-24,5.6,5.67,5.81,5.58,26288.25,600987
20,2004-12-31,5.67,5.55,5.74,5.47,23534.78,600987
21,2005-01-07,5.48,5.39,5.48,5.29,15267.77,600987
22,2005-01-14,5.58,5.32,5.58,5.31,16258.71,600987
23,2005-01-21,5.28,4.96,5.28,4.76,40465.62,600987
24,2005-01-28,5.0,4.8,5.11,4.79,40065.81,600987
25,2005-02-04,4.84,4.99,5.05,4.6,46859.61,600987
26,2005-02-18,4.99,4.93,5.03,4.9,12331.5,600987
27,2005-02-25,4.93,5.16,5.29,4.91,64672.43,600987
28,2005-03-04,5.14,4.99,5.16,4.95,29862.47,600987
29,2005-03-11,4.99,5.02,5.22,4.98,36327.66,600987
30,2005-03-18,5.02,4.66,5.04,4.65,34531.7,600987
31,2005-03-25,4.73,4.43,4.74,4.34,22416.03,600987
32,2005-04-01,4.44,4.28,4.44,4.06,22069.58,600987
33,2005-04-08,4.28,4.41,4.44,4.07,36379.16,600987
34,2005-04-15,4.4,4.11,4.5,4.05,48027.45,600987
35,2005-04-22,4.08,3.59,4.14,3.43,43171.33,600987
36,2005-04-29,3.55,3.61,3.7,3.41,27104.9,600987
37,2005-05-13,3.57,3.47,3.63,3.32,18097.21,600987
38,2005-05-20,3.42,3.5,3.56,3.4,22718.98,600987
39,2005-05-27,3.48,3.23,3.48,3.1,39980.76,600987
40,2005-06-03,3.22,3.23,3.38,3.15,35410.28,600987
41,2005-06-10,3.22,3.46,3.75,3.1,104522.04,600987
42,2005-06-17,3.51,3.42,3.64,3.3,57124.78,600987
43,2005-06-24,3.39,3.61,3.68,3.39,83132.9,600987
44,2005-07-01,3.71,3.34,3.94,3.3,218166.25,600987
45,2005-07-08,3.3,3.46,3.53,3.21,112694.89,600987
46,2005-07-15,3.51,3.17,3.6,3.17,144936.18,600987
47,2005-07-22,3.1,2.97,3.1,2.84,63766.46,600987
48,2005-07-29,2.97,3.15,3.24,2.88,92388.04,600987
49,2005-08-05,3.12,3.26,3.28,3.09,85083.39,600987
50,2005-08-12,3.35,3.41,3.57,3.29,188623.86,600987
51,2005-08-19,3.37,3.45,3.65,3.36,133983.03,600987
52,2005-08-26,3.45,3.53,3.64,3.43,133685.86,600987
53,2005-09-02,3.54,3.71,3.78,3.46,146536.86,600987
54,2005-09-09,3.72,3.65,3.78,3.55,103847.68,600987
55,2005-09-16,3.63,4.05,4.1,3.63,317072.34,600987
56,2005-09-23,4.15,3.77,4.15,3.71,167955.26,600987
57,2005-09-30,3.75,3.56,3.77,3.53,62369.31,600987
58,2005-10-14,3.6,3.53,3.69,3.49,47612.15,600987
59,2005-10-21,3.53,3.45,3.56,3.36,43790.76,600987
60,2005-10-28,3.45,3.13,3.53,3.06,51636.58,600987
61,2005-11-04,3.15,3.21,3.26,3.08,26889.18,600987
62,2005-11-11,3.23,3.16,3.35,3.12,42996.84,600987
63,2005-11-18,3.15,3.29,3.29,3.13,28992.31,600987
64,2005-11-25,3.29,3.55,3.65,3.27,218449.12,600987
65,2005-12-02,3.5,3.49,3.58,3.33,70839.95,600987
66,2005-12-09,3.49,3.58,3.64,3.35,71109.15,600987
67,2005-12-16,3.6,3.6,3.71,3.53,73292.59,600987
68,2005-12-23,3.61,3.6,3.62,3.45,48880.94,600987
69,2005-12-29,3.6,3.57,3.62,3.54,33410.16,600987
70,2006-01-06,3.58,3.63,3.65,3.48,47305.91,600987
71,2006-01-13,3.62,3.75,3.78,3.61,98961.02,600987
72,2006-01-20,3.83,3.67,3.83,3.56,72147.56,600987
73,2006-01-25,3.65,3.66,3.78,3.58,46982.11,600987
74,2006-02-10,3.68,3.85,3.92,3.66,94532.32,600987
75,2006-02-17,3.84,3.66,3.89,3.64,63407.2,600987
76,2006-02-24,3.65,3.83,3.85,3.61,55975.43,600987
77,2006-03-03,3.8,3.68,3.84,3.64,55331.14,600987
78,2006-03-10,3.68,3.47,3.72,3.44,31280.91,600987
79,2006-03-17,3.5,3.52,3.57,3.46,21667.98,600987
80,2006-03-24,3.5,3.64,3.76,3.47,62502.36,600987
81,2006-03-31,3.63,3.72,3.8,3.61,60602.17,600987
82,2006-04-14,4.09,3.94,4.09,3.81,129668.42,600987
83,2006-04-21,3.93,4.1,4.17,3.92,147670.07,600987
84,2006-04-26,4.1,4.0,4.2,3.98,101228.65,600987
85,2006-05-26,3.01,3.04,3.08,2.8,228404.22,600987
86,2006-06-02,3.05,3.29,3.36,2.96,381673.33,600987
87,2006-06-09,3.31,3.18,3.56,3.08,380512.88,600987
88,2006-06-16,3.18,3.35,3.39,3.08,251490.99,600987
89,2006-06-23,3.35,3.3,3.43,3.2,182308.99,600987
90,2006-06-30,3.31,3.48,3.53,3.31,306167.14,600987
91,2006-07-07,3.56,3.46,3.58,3.36,231739.76,600987
92,2006-07-14,3.46,3.38,3.67,3.28,265419.92,600987
93,2006-07-21,3.35,3.52,3.55,3.33,151608.46,600987
94,2006-07-28,3.45,3.55,3.64,3.39,192326.97,600987
95,2006-08-04,3.52,3.28,3.55,3.27,96684.66,600987
96,2006-08-11,3.2,3.4,3.44,3.18,98373.93,600987
97,2006-08-18,3.42,3.27,3.42,3.25,66825.97,600987
98,2006-08-25,3.18,3.27,3.32,3.12,49668.73,600987
99,2006-09-01,3.27,3.21,3.39,3.2,102693.05,600987
100,2006-09-08,3.21,3.4,3.45,3.21,143888.54,600987
101,2006-09-15,3.42,3.39,3.48,3.3,141682.78,600987
102,2006-09-22,3.39,3.45,3.56,3.37,139806.4,600987
103,2006-09-29,3.41,3.51,3.56,3.4,100900.9,600987
104,2006-10-13,3.54,3.58,3.69,3.5,196504.47,600987
105,2006-10-20,3.59,3.51,3.65,3.49,100693.24,600987
106,2006-10-27,3.5,3.4,3.59,3.38,93210.99,600987
107,2006-11-03,3.4,3.47,3.49,3.38,69394.02,600987
108,2006-11-10,3.44,3.32,3.45,3.3,94931.5,600987
109,2006-11-17,3.32,3.29,3.34,3.18,66025.13,600987
110,2006-11-24,3.29,3.36,3.39,3.21,62396.17,600987
111,2006-12-01,3.37,3.49,3.49,3.31,121028.84,600987
112,2006-12-08,3.52,3.37,3.67,3.34,262754.98,600987
113,2006-12-15,3.35,3.55,3.65,3.35,127915.37,600987
114,2006-12-22,3.56,3.73,3.88,3.47,286819.39,600987
115,2006-12-29,3.73,3.55,3.81,3.48,234018.22,600987
116,2007-01-05,3.56,3.68,3.71,3.5,81349.02,600987
117,2007-01-12,3.66,3.82,4.15,3.66,417503.9,600987
118,2007-01-19,3.81,4.22,4.24,3.8,352232.21,600987
119,2007-01-26,4.33,4.53,4.58,4.17,439404.94,600987
120,2007-02-02,4.58,4.92,5.43,4.55,841525.65,600987
121,2007-02-09,5.11,5.16,5.41,5.08,779160.79,600987
122,2007-02-16,5.18,5.7,6.0,5.17,679873.27,600987
123,2007-03-02,5.8,5.39,6.05,5.13,429614.17,600987
124,2007-03-09,5.39,5.68,5.79,5.17,290906.23,600987
125,2007-03-16,5.68,5.68,6.01,5.61,447598.6,600987
126,2007-03-23,5.54,6.1,6.14,5.46,400021.24,600987
127,2007-03-30,6.24,6.43,6.75,6.16,522227.14,600987
128,2007-04-06,6.38,6.94,7.07,6.38,387259.96,600987
129,2007-04-13,7.09,7.56,7.87,6.91,635900.07,600987
130,2007-04-20,7.66,8.65,9.12,7.58,890225.04,600987
131,2007-04-27,8.65,9.79,9.98,8.49,689841.58,600987
132,2007-05-11,10.37,11.06,11.11,10.25,780706.41,600987
133,2007-05-18,11.26,11.04,11.42,10.01,665053.25,600987
134,2007-05-25,10.7,11.22,12.3,10.6,617592.94,600987
135,2007-06-01,11.3,8.34,11.6,8.34,688176.68,600987
136,2007-06-08,8.41,8.44,8.7,6.76,585665.4,600987
137,2007-06-15,8.45,8.46,9.08,7.8,465179.42,600987
138,2007-06-22,8.57,7.7,9.04,7.52,362022.69,600987
139,2007-06-29,7.7,6.84,7.8,6.52,273457.45,600987
140,2007-07-06,6.88,7.08,7.31,6.5,166044.68,600987
141,2007-07-13,7.11,7.14,7.41,7.0,141079.98,600987
142,2007-07-20,7.2,7.26,7.31,6.68,115407.87,600987
143,2007-07-27,7.3,8.08,8.09,7.26,297513.23,600987
144,2007-08-03,8.16,8.7,9.29,7.7,431877.44,600987
145,2007-08-10,8.68,8.13,8.84,7.88,278425.62,600987
146,2007-08-17,8.12,8.31,8.58,8.01,199948.53,600987
147,2007-08-24,8.41,9.2,9.24,8.39,366365.12,600987
148,2007-08-31,9.4,9.2,9.5,8.76,382205.48,600987
149,2007-09-07,9.29,9.25,9.5,8.99,222436.06,600987
150,2007-09-14,9.26,8.79,9.64,8.33,294069.93,600987
151,2007-09-21,8.8,8.89,9.19,8.7,193479.42,600987
152,2007-09-28,9.0,8.95,9.05,8.65,134157.07,600987
153,2007-10-12,9.07,8.29,9.13,7.95,184165.85,600987
154,2007-10-19,8.3,8.01,8.35,7.91,113019.99,600987
155,2007-10-26,7.94,7.02,8.1,6.85,91055.76,600987
156,2007-11-02,7.05,7.29,7.8,6.93,91554.45,600987
157,2007-11-09,7.3,7.17,7.59,7.05,58845.08,600987
158,2007-11-16,7.14,7.41,7.53,6.98,64678.25,600987
159,2007-11-23,7.42,7.44,7.85,7.18,97516.39,600987
160,2007-11-30,7.52,7.45,7.62,7.3,61483.24,600987
161,2007-12-07,7.45,7.72,7.77,7.4,73236.22,600987
162,2007-12-14,7.68,8.17,8.2,7.52,143198.4,600987
163,2007-12-21,8.23,8.48,8.64,8.01,137114.77,600987
164,2007-12-28,8.65,8.52,8.84,8.38,135954.49,600987
165,2008-01-04,8.6,8.99,9.12,8.52,96816.8,600987
166,2008-01-11,8.99,8.87,9.22,8.76,171314.56,600987
167,2008-01-18,8.9,9.03,9.36,8.55,226310.85,600987
168,2008-01-25,9.07,8.49,9.3,7.86,200578.46,600987
169,2008-02-01,8.51,7.57,8.57,7.2,82894.73,600987
170,2008-02-05,7.75,8.17,8.24,7.72,30291.6,600987
171,2008-02-15,8.05,8.22,8.33,7.96,34481.14,600987
172,2008-02-22,8.38,8.49,8.71,8.21,104280.8,600987
173,2008-02-29,8.49,8.85,8.97,8.17,134068.0,600987
174,2008-03-07,8.85,8.84,9.6,8.75,223142.72,600987
175,2008-03-14,8.68,8.31,8.96,8.1,94108.41,600987
176,2008-03-21,8.26,7.89,8.37,7.0,91287.19,600987
177,2008-03-28,7.98,8.1,8.32,7.43,85541.67,600987
178,2008-04-03,8.35,8.8,8.96,7.98,306162.57,600987
179,2008-04-11,8.7,9.64,9.97,8.58,679171.85,600987
180,2008-04-18,9.42,7.41,9.42,7.28,367269.63,600987
181,2008-04-25,7.25,8.46,8.94,7.0,261647.4,600987
182,2008-04-30,8.4,8.99,9.05,8.24,182781.09,600987
183,2008-05-09,9.08,9.34,9.58,8.65,382607.97,600987
184,2008-05-16,9.34,6.77,9.67,6.58,376954.59,600987
185,2008-05-23,6.75,6.0,6.79,5.7,203192.15,600987
186,2008-05-30,6.0,5.88,6.24,5.8,125737.18,600987
187,2008-06-06,5.88,5.54,5.99,5.45,90312.26,600987
188,2008-06-13,5.33,4.56,5.39,4.51,87639.9,600987
189,2008-06-20,4.53,4.02,4.65,3.71,147737.14,600987
190,2008-06-27,3.96,3.95,4.44,3.83,117231.28,600987
191,2008-07-04,3.95,4.17,4.18,3.8,78119.94,600987
192,2008-07-11,4.19,4.29,4.59,4.15,159074.79,600987
193,2008-07-18,4.26,4.26,4.59,3.98,124297.7,600987
194,2008-07-25,4.24,4.48,4.54,4.24,122885.14,600987
195,2008-08-01,4.48,4.6,4.93,4.44,258426.9,600987
196,2008-08-08,4.55,3.94,4.58,3.92,94158.1,600987
197,2008-08-15,3.97,3.81,4.05,3.6,75369.16,600987
198,2008-08-21,3.86,3.69,3.9,3.41,65417.1,600987
199,2008-08-29,3.61,3.54,3.72,3.34,41973.34,600987
200,2008-09-05,3.5,3.43,3.65,3.38,56664.26,600987
201,2008-09-12,3.45,3.32,3.5,3.25,33298.87,600987
202,2008-09-19,3.31,3.38,3.38,2.95,54941.82,600987
203,2008-09-26,3.52,3.29,3.7,3.11,104465.31,600987
204,2008-10-10,3.28,3.13,3.28,3.02,102443.48,600987
205,2008-10-17,3.11,2.93,3.36,2.9,111946.71,600987
206,2008-10-24,2.91,2.97,3.15,2.87,91505.28,600987
207,2008-10-31,2.95,2.84,2.97,2.68,61539.09,600987
208,2008-11-07,2.82,3.09,3.3,2.8,425551.22,600987
209,2008-11-14,3.09,3.45,3.46,3.08,390236.3,600987
210,2008-11-21,3.36,3.46,3.66,3.16,374054.29,600987
211,2008-11-28,3.39,3.15,3.49,3.09,183382.15,600987
212,2008-12-05,3.15,3.85,4.08,3.11,777430.2,600987
213,2008-12-12,3.83,3.47,3.98,3.41,468050.81,600987
214,2008-12-19,3.52,3.67,3.75,3.41,209512.41,600987
215,2008-12-26,3.73,3.26,3.73,3.24,172534.32,600987
216,2008-12-31,3.25,3.16,3.26,3.12,54480.85,600987
217,2009-01-09,3.2,3.35,3.41,3.19,129686.34,600987
218,2009-01-16,3.33,3.75,3.85,3.31,422355.63,600987
219,2009-01-23,3.88,3.63,4.13,3.56,394063.71,600987
220,2009-02-06,3.65,4.04,4.06,3.6,531741.87,600987
221,2009-02-13,4.16,4.34,4.37,4.0,716079.27,600987
222,2009-02-20,4.43,4.65,4.84,4.33,1051380.14,600987
223,2009-02-27,4.65,3.86,5.04,3.84,697331.41,600987
224,2009-03-06,3.86,4.18,4.3,3.8,347085.09,600987
